100
0 1-52; 2-48; 3-81; 4-60; 5-7; 6-28; 7-91; 8-54; 9-86; 10-2; 11-99; 12-17; 13-61; 14-76; 15-77; 16-71; 17-22; 18-78; 19-61; 20-43; 21-54; 22-95; 23-96; 24-89; 25-15; 26-21; 27-17; 28-88; 29-42; 30-71; 31-11; 32-55; 33-42; 34-99; 35-33; 36-72; 37-25; 38-31; 39-7; 40-23; 41-15; 42-79; 43-98; 44-44; 45-31; 46-30; 47-2; 48-30; 49-82; 50-19; 51-71; 52-29; 53-96; 54-63; 55-31; 56-34; 57-49; 58-43; 59-60; 60-47; 61-79; 62-84; 63-9; 64-91; 65-52; 66-17; 67-9; 68-12; 69-60; 70-67; 71-58; 72-12; 73-45; 74-52; 75-32; 76-55; 77-1; 78-45; 79-52; 80-44; 81-11; 82-95; 83-35; 84-31; 85-70; 86-93; 87-33; 88-46; 89-88; 90-83; 91-90; 92-99; 93-64; 94-57; 95-79; 96-77; 97-71; 98-69; 99-79;
11 0-99; 1-0; 2-57; 3-82; 4-26; 5-91; 6-64; 7-88; 8-93; 9-68; 10-23; 12-39; 13-52; 14-57; 15-69; 16-99; 17-5; 18-59; 19-71; 20-36; 21-22; 22-92; 23-53; 24-61; 25-45; 26-15; 27-90; 28-82; 29-73; 30-31; 31-54; 32-64; 33-57; 34-13; 35-36; 36-25; 37-41; 38-75; 39-39; 40-44; 41-50; 42-64; 43-6; 44-81; 45-79; 46-67; 47-16; 48-88; 49-24; 50-18; 51-75; 52-45; 53-48; 54-52; 55-7; 56-10; 57-71; 58-81; 59-58; 60-78; 61-29; 62-19; 63-80; 64-47; 65-70; 66-40; 67-18; 68-64; 69-67; 70-72; 71-59; 72-79; 73-18; 74-52; 75-49; 76-54; 77-87; 78-16; 79-72; 80-9; 81-28; 82-5; 83-95; 84-46; 85-51; 86-62; 87-94; 88-70; 89-77; 90-45; 91-95; 92-85; 93-26; 94-68; 95-82; 96-29; 97-10; 98-29; 99-37;
12 0-17; 1-6; 2-53; 3-73; 4-62; 5-32; 6-22; 7-94; 8-54; 9-70; 10-53; 11-39; 13-57; 14-95; 15-91; 16-16; 17-12; 18-15; 19-54; 20-77; 21-23; 22-42; 23-2; 24-8; 25-77; 26-28; 27-75; 28-67; 29-26; 30-67; 31-93; 32-20; 33-0; 34-37; 35-96; 36-77; 37-43; 38-31; 39-79; 40-10; 41-49; 42-92; 43-9; 44-16; 45-93; 46-36; 47-80; 48-20; 49-69; 50-39; 51-25; 52-85; 53-4; 54-74; 55-26; 56-28; 57-5; 58-32; 59-89; 60-18; 61-4; 62-26; 63-17; 64-76; 65-18; 66-5; 67-11; 68-96; 69-90; 70-75; 71-52; 72-20; 73-94; 74-86; 75-37; 76-32; 77-97; 78-64; 79-84; 80-57; 81-39; 82-4; 83-31; 84-70; 85-60; 86-24; 87-84; 88-62; 89-8; 90-15; 91-61; 92-44; 93-39; 94-52; 95-3; 96-91; 97-13; 98-38; 99-14;
13 0-61; 1-70; 2-62; 3-75; 4-10; 5-6; 6-98; 7-86; 8-90; 9-18; 10-91; 11-52; 12-57; 14-88; 15-71; 16-3; 17-83; 18-70; 19-17; 20-93; 21-52; 22-97; 23-47; 24-33; 25-51; 26-63; 27-97; 28-77; 29-15; 30-70; 31-26; 32-12; 33-82; 34-82; 35-37; 36-11; 37-26; 38-1; 39-63; 40-86; 41-36; 42-1; 43-83; 44-52; 45-39; 46-88; 47-79; 48-55; 49-98; 50-60; 51-77; 52-60; 53-55; 54-70; 55-17; 56-8; 57-65; 58-2; 59-51; 60-41; 61-83; 62-35; 63-67; 64-26; 65-76; 66-54; 67-26; 68-34; 69-30; 70-35; 71-36; 72-32; 73-66; 74-52; 75-89; 76-98; 77-39; 78-4; 79-15; 80-70; 81-0; 82-85; 83-7; 84-7; 85-16; 86-90; 87-50; 88-27; 89-8; 90-84; 91-13; 92-87; 93-12; 94-12; 95-47; 96-39; 97-36; 98-97; 99-78;
14 0-76; 1-64; 2-92; 3-26; 4-67; 5-83; 6-94; 7-0; 8-91; 9-84; 10-67; 11-57; 12-95; 13-88; 15-27; 16-48; 17-19; 18-33; 19-36; 20-76; 21-27; 22-45; 23-59; 24-3; 25-28; 26-80; 27-19; 28-47; 29-16; 30-3; 31-90; 32-5; 33-38; 34-52; 35-91; 36-41; 37-1; 38-1; 39-26; 40-94; 41-63; 42-30; 43-57; 44-37; 45-85; 46-63; 47-29; 48-33; 49-33; 50-45; 51-78; 52-82; 53-93; 54-29; 55-84; 56-10; 57-54; 58-87; 59-56; 60-60; 61-7; 62-42; 63-80; 64-46; 65-16; 66-7; 67-69; 68-12; 69-89; 70-60; 71-30; 72-88; 73-7; 74-12; 75-78; 76-73; 77-60; 78-51; 79-70; 80-76; 81-59; 82-13; 83-1; 84-50; 85-79; 86-13; 87-33; 88-3; 89-40; 90-0; 91-1; 92-44; 93-26; 94-25; 95-74; 96-99; 97-63; 98-30; 99-37;
15 0-77; 1-31; 2-28; 3-54; 4-17; 5-28; 6-95; 7-79; 8-85; 9-91; 10-24; 11-69; 12-91; 13-71; 14-27; 16-93; 17-17; 18-8; 19-94; 20-17; 21-83; 22-65; 23-92; 24-99; 25-81; 26-63; 27-96; 28-7; 29-0; 30-88; 31-56; 32-45; 33-70; 34-29; 35-59; 36-85; 37-81; 38-94; 39-40; 40-41; 41-12; 42-40; 43-25; 44-64; 45-86; 46-29; 47-40; 48-37; 49-0; 50-9; 51-27; 52-74; 53-45; 54-17; 55-93; 56-92; 57-88; 58-55; 59-8; 60-4; 61-31; 62-11; 63-79; 64-3; 65-43; 66-51; 67-6; 68-47; 69-15; 70-49; 71-61; 72-12; 73-56; 74-58; 75-2; 76-12; 77-18; 78-3; 79-77; 80-59; 81-32; 82-74; 83-65; 84-58; 85-72; 86-51; 87-23; 88-45; 89-98; 90-15; 91-38; 92-45; 93-66; 94-20; 95-84; 96-24; 97-4; 98-4; 99-36;
16 0-71; 1-24; 2-89; 3-54; 4-23; 5-34; 6-80; 7-17; 8-24; 9-93; 10-98; 11-99; 12-16; 13-3; 14-48; 15-93; 17-13; 18-51; 19-59; 20-3; 21-37; 22-7; 23-44; 24-71; 25-42; 26-7; 27-61; 28-12; 29-50; 30-55; 31-80; 32-11; 33-40; 34-13; 35-33; 36-42; 37-80; 38-26; 39-97; 40-40; 41-70; 42-61; 43-82; 44-92; 45-96; 46-76; 47-6; 48-84; 49-21; 50-18; 51-73; 52-41; 53-39; 54-4; 55-5; 56-7; 57-61; 58-22; 59-68; 60-9; 61-7; 62-43; 63-20; 64-98; 65-46; 66-52; 67-59; 68-13; 69-88; 70-23; 71-73; 72-14; 73-79; 74-33; 75-49; 76-77; 77-40; 78-88; 79-18; 80-30; 81-17; 82-51; 83-54; 84-87; 85-42; 86-32; 87-48; 88-20; 89-87; 90-87; 91-11; 92-96; 93-91; 94-14; 95-76; 96-80; 97-72; 98-96; 99-34;
17 0-22; 1-43; 2-57; 3-77; 4-59; 5-48; 6-42; 7-4; 8-73; 9-31; 10-38; 11-5; 12-12; 13-83; 14-19; 15-17; 16-13; 18-29; 19-95; 20-54; 21-15; 22-50; 23-43; 24-5; 25-46; 26-41; 27-79; 28-6; 29-39; 30-4; 31-78; 32-88; 33-75; 34-21; 35-46; 36-4; 37-83; 38-21; 39-85; 40-43; 41-0; 42-46; 43-15; 44-72; 45-13; 46-45; 47-19; 48-95; 49-74; 50-47; 51-48; 52-80; 53-95; 54-96; 55-56; 56-81; 57-69; 58-10; 59-40; 60-85; 61-11; 62-11; 63-67; 64-98; 65-25; 66-45; 67-28; 68-64; 69-27; 70-98; 71-16; 72-32; 73-81; 74-96; 75-48; 76-62; 77-7; 78-52; 79-53; 80-81; 81-27; 82-60; 83-37; 84-89; 85-14; 86-58; 87-94; 88-42; 89-25; 90-60; 91-70; 92-37; 93-53; 94-82; 95-4; 96-40; 97-51; 98-65; 99-72;
18 0-78; 1-84; 2-31; 3-82; 4-92; 5-75; 6-47; 7-65; 8-68; 9-68; 10-71; 11-59; 12-15; 13-70; 14-33; 15-8; 16-51; 17-29; 19-24; 20-55; 21-28; 22-22; 23-5; 24-82; 25-72; 26-51; 27-66; 28-90; 29-0; 30-96; 31-31; 32-31; 33-87; 34-29; 35-29; 36-60; 37-18; 38-15; 39-68; 40-85; 41-64; 42-83; 43-37; 44-27; 45-56; 46-65; 47-35; 48-22; 49-94; 50-21; 51-17; 52-63; 53-8; 54-32; 55-57; 56-88; 57-62; 58-36; 59-9; 60-22; 61-14; 62-35; 63-62; 64-81; 65-93; 66-35; 67-87; 68-83; 69-78; 70-75; 71-85; 72-67; 73-66; 74-35; 75-48; 76-17; 77-72; 78-7; 79-73; 80-13; 81-83; 82-52; 83-77; 84-57; 85-15; 86-87; 87-87; 88-27; 89-94; 90-47; 91-1; 92-90; 93-60; 94-60; 95-43; 96-37; 97-26; 98-0; 99-74;
19 0-61; 1-36; 2-14; 3-57; 4-15; 5-93; 6-17; 7-32; 8-71; 9-46; 10-94; 11-71; 12-54; 13-17; 14-36; 15-94; 16-59; 17-95; 18-24; 20-3; 21-34; 22-70; 23-36; 24-43; 25-80; 26-12; 27-66; 28-45; 29-5; 30-17; 31-39; 32-25; 33-72; 34-80; 35-49; 36-75; 37-85; 38-4; 39-83; 40-99; 41-47; 42-74; 43-97; 44-31; 45-82; 46-24; 47-40; 48-50; 49-92; 50-18; 51-50; 52-35; 53-67; 54-2; 55-80; 56-73; 57-14; 58-63; 59-2; 60-0; 61-13; 62-88; 63-69; 64-17; 65-76; 66-88; 67-17; 68-23; 69-25; 70-49; 71-29; 72-12; 73-93; 74-81; 75-85; 76-80; 77-70; 78-33; 79-76; 80-5; 81-39; 82-71; 83-62; 84-44; 85-67; 86-80; 87-11; 88-58; 89-16; 90-34; 91-75; 92-3; 93-14; 94-15; 95-24; 96-75; 97-84; 98-76; 99-63;
20 0-43; 1-31; 2-55; 3-10; 4-66; 5-99; 6-74; 7-81; 8-64; 9-13; 10-77; 11-36; 12-77; 13-93; 14-76; 15-17; 16-3; 17-54; 18-55; 19-3; 21-46; 22-46; 23-48; 24-42; 25-57; 26-52; 27-67; 28-99; 29-40; 30-46; 31-54; 32-28; 33-6; 34-81; 35-97; 36-21; 37-26; 38-76; 39-28; 40-9; 41-27; 42-51; 43-48; 44-44; 45-92; 46-88; 47-22; 48-98; 49-95; 50-94; 51-38; 52-46; 53-17; 54-15; 55-12; 56-31; 57-2; 58-82; 59-52; 60-59; 61-85; 62-80; 63-55; 64-37; 65-74; 66-36; 67-73; 68-89; 69-9; 70-63; 71-36; 72-8; 73-40; 74-97; 75-98; 76-52; 77-29; 78-5; 79-12; 80-42; 81-1; 82-63; 83-69; 84-10; 85-53; 86-46; 87-99; 88-82; 89-9; 90-88; 91-82; 92-27; 93-76; 94-28; 95-65; 96-54; 97-69; 98-96; 99-40;
21 0-54; 1-31; 2-18; 3-43; 4-48; 5-95; 6-59; 7-78; 8-34; 9-45; 10-10; 11-22; 12-23; 13-52; 14-27; 15-83; 16-37; 17-15; 18-28; 19-34; 20-46; 22-99; 23-87; 24-12; 25-22; 26-95; 27-24; 28-69; 29-65; 30-7; 31-39; 32-74; 33-37; 34-20; 35-80; 36-89; 37-85; 38-15; 39-59; 40-2; 41-90; 42-63; 43-80; 44-56; 45-62; 46-4; 47-15; 48-99; 49-62; 50-1; 51-45; 52-18; 53-34; 54-0; 55-67; 56-47; 57-32; 58-33; 59-26; 60-68; 61-72; 62-76; 63-68; 64-21; 65-3; 66-87; 67-47; 68-17; 69-85; 70-94; 71-92; 72-31; 73-95; 74-67; 75-31; 76-21; 77-22; 78-32; 79-14; 80-37; 81-84; 82-65; 83-26; 84-40; 85-56; 86-29; 87-54; 88-79; 89-50; 90-6; 91-99; 92-55; 93-48; 94-15; 95-68; 96-93; 97-89; 98-90; 99-34;
22 0-95; 1-48; 2-31; 3-47; 4-52; 5-88; 6-46; 7-44; 8-36; 9-8; 10-12; 11-92; 12-42; 13-97; 14-45; 15-65; 16-7; 17-50; 18-22; 19-70; 20-46; 21-99; 23-66; 24-19; 25-32; 26-54; 27-22; 28-87; 29-62; 30-77; 31-46; 32-90; 33-41; 34-93; 35-45; 36-65; 37-12; 38-5; 39-26; 40-58; 41-97; 42-51; 43-73; 44-48; 45-90; 46-5; 47-49; 48-26; 49-17; 50-9; 51-80; 52-0; 53-99; 54-1; 55-85; 56-98; 57-73; 58-9; 59-88; 60-52; 61-83; 62-61; 63-34; 64-11; 65-7; 66-6; 67-17; 68-0; 69-27; 70-70; 71-33; 72-64; 73-16; 74-91; 75-43; 76-50; 77-53; 78-52; 79-49; 80-67; 81-86; 82-15; 83-70; 84-41; 85-59; 86-78; 87-36; 88-16; 89-56; 90-21; 91-78; 92-75; 93-36; 94-94; 95-69; 96-73; 97-38; 98-84; 99-2;
23 0-96; 1-17; 2-79; 3-81; 4-97; 5-4; 6-89; 7-33; 8-57; 9-24; 10-99; 11-53; 12-2; 13-47; 14-59; 15-92; 16-44; 17-43; 18-5; 19-36; 20-48; 21-87; 22-66; 24-28; 25-84; 26-57; 27-0; 28-4; 29-37; 30-89; 31-77; 32-27; 33-76; 34-46; 35-85; 36-3; 37-39; 38-18; 39-26; 40-15; 41-66; 42-24; 43-91; 44-5; 45-63; 46-26; 47-4; 48-42; 49-38; 50-26; 51-72; 52-69; 53-90; 54-12; 55-1; 56-45; 57-32; 58-21; 59-68; 60-81; 61-22; 62-23; 63-76; 64-12; 65-99; 66-79; 67-92; 68-9; 69-32; 70-53; 71-84; 72-46; 73-76; 74-19; 75-71; 76-13; 77-9; 78-19; 79-0; 80-73; 81-71; 82-39; 83-88; 84-81; 85-6; 86-23; 87-70; 88-43; 89-11; 90-44; 91-24; 92-62; 93-37; 94-34; 95-32; 96-48; 97-94; 98-30; 99-4;
24 0-89; 1-98; 2-90; 3-10; 4-74; 5-4; 6-97; 7-3; 8-21; 9-61; 10-92; 11-61; 12-8; 13-33; 14-3; 15-99; 16-71; 17-5; 18-82; 19-43; 20-42; 21-12; 22-19; 23-28; 25-1; 26-6; 27-59; 28-84; 29-33; 30-27; 31-75; 32-94; 33-4; 34-42; 35-72; 36-10; 37-73; 38-69; 39-67; 40-98; 41-88; 42-71; 43-23; 44-69; 45-70; 46-97; 47-56; 48-64; 49-92; 50-71; 51-61; 52-15; 53-54; 54-60; 55-0; 56-83; 57-55; 58-67; 59-21; 60-20; 61-18; 62-96; 63-78; 64-58; 65-89; 66-76; 67-75; 68-91; 69-20; 70-29; 71-45; 72-57; 73-0; 74-9; 75-39; 76-19; 77-14; 78-64; 79-85; 80-87; 81-34; 82-79; 83-88; 84-1; 85-14; 86-48; 87-71; 88-64; 89-53; 90-82; 91-27; 92-14; 93-92; 94-77; 95-44; 96-44; 97-74; 98-50; 99-6;
25 0-15; 1-73; 2-26; 3-37; 4-81; 5-18; 6-88; 7-45; 8-71; 9-49; 10-60; 11-45; 12-77; 13-51; 14-28; 15-81; 16-42; 17-46; 18-72; 19-80; 20-57; 21-22; 22-32; 23-84; 24-1; 26-45; 27-64; 28-42; 29-72; 30-49; 31-15; 32-90; 33-92; 34-96; 35-22; 36-73; 37-37; 38-15; 39-33; 40-53; 41-31; 42-11; 43-2; 44-6; 45-86; 46-31; 47-56; 48-7; 49-53; 50-22; 51-14; 52-80; 53-18; 54-48; 55-42; 56-6; 57-16; 58-83; 59-61; 60-55; 61-9; 62-80; 63-6; 64-66; 65-92; 66-42; 67-29; 68-94; 69-94; 70-32; 71-9; 72-12; 73-35; 74-88; 75-20; 76-51; 77-54; 78-13; 79-0; 80-36; 81-75; 82-59; 83-62; 84-66; 85-76; 86-34; 87-52; 88-97; 89-51; 90-1; 91-28; 92-56; 93-99; 94-85; 95-26; 96-41; 97-64; 98-6; 99-27;
26 0-21; 1-0; 2-26; 3-44; 4-11; 5-19; 6-85; 7-69; 8-28; 9-61; 10-47; 11-15; 12-28; 13-63; 14-80; 15-63; 16-7; 17-41; 18-51; 19-12; 20-52; 21-95; 22-54; 23-57; 24-6; 25-45; 27-41; 28-41; 29-50; 30-67; 31-24; 32-5; 33-85; 34-69; 35-67; 36-86; 37-9; 38-16; 39-75; 40-2; 41-50; 42-11; 43-96; 44-73; 45-13; 46-67; 47-17; 48-91; 49-93; 50-21; 51-80; 52-10; 53-64; 54-44; 55-51; 56-93; 57-8; 58-43; 59-40; 60-16; 61-8; 62-44; 63-51; 64-62; 65-94; 66-39; 67-26; 68-52; 69-35; 70-75; 71-45; 72-41; 73-6; 74-24; 75-10; 76-1; 77-52; 78-10; 79-61; 80-18; 81-79; 82-44; 83-46; 84-7; 85-44; 86-4; 87-80; 88-0; 89-28; 90-62; 91-21; 92-86; 93-80; 94-64; 95-14; 96-22; 97-81; 98-31; 99-35;
